City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,terra roxa,-23.8557,-50.0314,23.41,50,0,2.69,BR,2023-07-22 11:34:15
125,pyapon,16.2833,95.6833,26.15,88,100,3.77,MM,2023-07-22 11:34:15
126,trincomalee,8.5711,81.2335,27.69,75,98,8.5,LK,2023-07-22 11:34:15
127,taroa,8.7058,171.2275,28.19,75,76,8.12,MH,2023-07-22 11:34:15
128,chonchi,-42.6128,-73.8092,8.95,67,99,2.12,CL,2023-07-22 11:34:16
129,yuzhno-kurilsk,44.0306,145.8556,14.44,97,91,4.15,RU,2023-07-22 11:30:43
130,mejit,10.2753,170.8646,27.94,77,95,7.55,MH,2023-07-22 11:34:16
131,puerto armuelles,8.2833,-82.8667,30.99,87,99,3.13,PA,2023-07-22 11:34:16
132,weno,7.4515,151.8468,28.31,80,99,9.68,FM,2023-07-22 11:34:16
133,amga,60.8953,131.9608,11.06,88,26,1.06,RU,2023-07-22 11:34:17
134,fale old settlement,-9.3852,-171.2468,28.25,75,7,3.23,TK,2023-07-22 11:34:17
135,altamira,-3.2033,-52.2064,32.05,43,40,2.57,BR,2023-07-22 11:34:17
136,saint-philippe,-21.3585,55.7679,21.77,84,68,7.19,RE,2023-07-22 11:34:17
137,flin flon,54.7682,-101.865,18.91,63,20,2.06,CA,2023-07-22 11:34:17
138,shimoda,34.6667,138.95,23.39,89,2,3.11,JP,2023-07-22 11:30:45
139,coquimbo,-29.9533,-71.3436,19.85,52,0,3.09,CL,2023-07-22 11:30:02
140,tsiombe,-25.3,45.4833,20.26,78,53,4.46,MG,2023-07-22 11:34:18
141,sodankyla,67.4167,26.6,15.81,70,98,2.68,FI,2023-07-22 11:30:46
142,east london,-33.0153,27.9116,20.52,45,0,4.12,ZA,2023-07-22 11:34:18
143,touros,-5.1989,-35.4608,28.39,63,17,8.68,BR,2023-07-22 11:34:18
144,soio,-6.1349,12.3689,22.29,80,77,4.61,AO,2023-07-22 11:30:46
145,sumbe,-11.2061,13.8437,21.05,80,8,3.35,AO,2023-07-22 11:34:18
146,severo-yeniseyskiy,60.3725,93.0408,18.35,71,99,1.57,RU,2023-07-22 11:34:19
147,egilsstadir,65.2653,-14.3948,13.95,67,75,3.09,IS,2023-07-22 11:34:19
148,hue,16.4667,107.6,28.06,83,20,1.54,VN,2023-07-22 11:34:19
149,karatuzskoye,53.6072,92.8667,17.31,89,25,5.43,RU,2023-07-22 11:34:19
150,boa vista,2.8197,-60.6733,27.99,74,75,3.6,BR,2023-07-22 11:34:20
151,khandyga,62.6667,135.6,11.25,95,2,0.6,RU,2023-07-22 11:34:20
152,lompoc,34.6391,-120.4579,24.36,100,0,2.06,US,2023-07-22 11:34:20
153,nemuro,43.3236,145.575,14.73,96,99,5.05,JP,2023-07-22 11:34:20
154,kirensk,57.7853,108.1119,17.57,70,6,0.67,RU,2023-07-22 11:29:59
155,medvedevo,56.6339,47.804,16.06,69,68,2.6,RU,2023-07-22 11:30:49
156,keningau,5.3378,116.1602,21.92,90,62,0.15,MY,2023-07-22 11:34:21
157,keflavik,64.0049,-22.5624,13.95,71,100,2.57,IS,2023-07-22 11:34:21
158,akureyri,65.6835,-18.0878,10.96,76,75,4.63,IS,2023-07-22 11:34:21
159,la passe,45.5549,-0.8967,26.13,64,15,4.84,FR,2023-07-22 11:34:22
160,quellon,-43.1167,-73.6167,8.14,66,20,2.57,CL,2023-07-22 11:32:34
161,qusmuryn,52.4503,64.6311,23.26,45,81,2.07,KZ,2023-07-22 11:30:50
162,tvoroyri,61.5556,-6.8111,11.09,85,12,6.61,FO,2023-07-22 11:34:22
163,al hasaheisa,14.7526,33.2984,36.65,30,57,5.48,SD,2023-07-22 11:34:22
164,bredasdorp,-34.5322,20.0403,11.29,63,15,3.13,ZA,2023-07-22 11:34:22
165,ponta delgada,37.7333,-25.6667,23.4,73,20,3.6,PT,2023-07-22 11:34:23
166,arraial do cabo,-22.9661,-42.0278,21.98,83,75,6.69,BR,2023-07-22 11:34:23
167,kirakira,-10.4544,161.9205,25.31,89,100,2.14,SB,2023-07-22 11:34:23
168,glendive,47.1053,-104.7125,27.09,50,0,1.54,US,2023-07-22 11:31:27
169,sterling,39.0062,-77.4286,28.95,56,75,2.68,US,2023-07-22 11:34:23
170,katsuura,35.1333,140.3,22.49,92,17,3.39,JP,2023-07-22 11:34:24
171,fulton,33.7668,-84.4499,27.43,73,100,5.66,US,2023-07-22 11:30:52
172,luau,-10.7073,22.2247,25.09,23,19,2.03,AO,2023-07-22 11:34:24
173,broome,42.2506,-75.833,25.95,52,75,4.63,US,2023-07-22 11:30:52
174,mangai,-4.05,19.5333,31.23,28,48,0.67,CD,2023-07-22 11:34:24
175,mangrol,21.1167,70.1167,27.2,87,100,5.67,IN,2023-07-22 11:34:24
176,araguaina,-7.1911,-48.2072,34.75,20,2,4.23,BR,2023-07-22 11:32:58
177,valparaiso,-33.0393,-71.6273,15.56,87,75,1.03,CL,2023-07-22 11:30:54
178,camana,-16.6228,-72.7111,18.95,78,5,4.94,PE,2023-07-22 11:34:25
179,puerto cabezas,14.0351,-83.3888,29.98,84,40,4.12,NI,2023-07-22 11:30:55
180,nouadhibou,20.931,-17.0347,26.99,57,1,9.26,MR,2023-07-22 11:34:25
181,castillos,-34.1667,-53.8333,25.03,59,100,7.11,UY,2023-07-22 11:30:56
182,carutapera,-1.195,-46.02,29.81,59,42,4.11,BR,2023-07-22 11:34:26
183,ghat,24.9647,10.1728,39.58,8,0,3.71,LY,2023-07-22 11:34:26
184,itoman,26.1247,127.6694,28.21,83,95,2.57,JP,2023-07-22 11:30:57
185,peace river,56.2501,-117.286,20.17,87,75,1.54,CA,2023-07-22 11:32:32
186,utena,55.5,25.6,14.33,95,100,2.99,LT,2023-07-22 11:30:57
187,vilyuysk,63.7553,121.6247,16.96,93,73,2.11,RU,2023-07-22 11:34:26
188,mossel bay,-34.1831,22.146,11.96,70,21,1.23,ZA,2023-07-22 11:30:57
189,sao joao da barra,-21.6403,-41.0511,23.05,69,6,4.15,BR,2023-07-22 11:34:27
190,remire-montjoly,4.9167,-52.2667,27.02,89,75,2.06,GF,2023-07-22 11:34:27
191,lorengau,-2.0226,147.2712,26.71,82,76,2.1,PG,2023-07-22 11:30:58
192,keelung,25.1283,121.7419,28.38,89,94,1.78,TW,2023-07-22 11:24:33
193,san patricio,28.017,-97.5169,34.53,38,2,0.89,US,2023-07-22 11:34:27
194,palikir - national government center,6.9248,158.1611,24.41,88,100,0.0,FM,2023-07-22 11:33:21
195,kruisfontein,-34.0033,24.7314,13.27,82,58,3.0,ZA,2023-07-22 11:34:27
196,sungai penuh,-2.0833,101.3833,17.78,97,71,0.67,ID,2023-07-22 11:34:28
197,sandpoint,48.2766,-116.5533,26.92,37,0,2.06,US,2023-07-22 11:33:00
198,whitehorse,60.7161,-135.0538,14.89,87,75,2.06,CA,2023-07-22 11:34:28
199,xichang,27.8964,102.2634,19.31,89,2,0.48,CN,2023-07-22 11:30:59
200,ust-nera,64.5667,143.2,10.84,93,100,1.95,RU,2023-07-22 11:34:28
201,carnarvon,-24.8667,113.6333,16.34,36,0,6.78,AU,2023-07-22 11:31:00
202,palmer,42.1584,-72.3287,26.36,56,40,2.57,US,2023-07-22 11:31:00
203,madimba,-10.4,40.3333,21.62,94,40,5.14,TZ,2023-07-22 11:34:29
204,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,2023-07-22 11:31:00
205,zyryanskoye,56.8306,86.6258,17.7,93,77,3.02,RU,2023-07-22 11:31:00
206,kodinsk,58.6881,99.1844,18.81,59,3,1.67,RU,2023-07-22 11:32:26
207,miyako,39.6367,141.9525,20.46,96,59,2.64,JP,2023-07-22 11:34:29
208,garachico,28.7781,-17.7646,24.06,65,20,9.26,ES,2023-07-22 11:31:01
209,kodiak,57.79,-152.4072,8.73,93,100,1.54,US,2023-07-22 11:34:30
210,kununurra,-15.7667,128.7333,22.99,33,0,4.63,AU,2023-07-22 11:31:01
211,san matias,-16.3667,-58.4,35.17,16,0,4.6,BO,2023-07-22 11:31:01
